ID,title,descr,author_ID,genre_ID,stock,price,currency_code,createdAt,createdBy,modifiedAt,modifiedBy
14569489,title-14569489,descr-14569489,30716097,26216143,91,71.66,434,2021-02-21T00:00:00.000Z,createdBy.8o9w1@example.com,2022-06-30T00:00:00.000Z,modifiedBy.8o9w1@example.org
14569490,title-14569490,descr-14569490,30716097,26216143,1,91,434,2023-07-10T00:00:00.000Z,createdBy.8o9w2@example.net,2021-04-05T00:00:00.000Z,modifiedBy.8o9w2@example.org
14569491,title-14569491,descr-14569491,30716097,26216143,70,54.81,434,2003-02-06T00:00:00.000Z,createdBy.8o9w3@example.com,2017-07-20T00:00:00.000Z,modifiedBy.8o9w3@example.org
14569492,title-14569492,descr-14569492,30716097,26216143,63,71.23,434,2016-10-14T00:00:00.000Z,createdBy.8o9w4@example.org,2016-04-23T00:00:00.000Z,modifiedBy.8o9w4@example.org
14569493,title-14569493,descr-14569493,30716097,26216143,92,2.73,434,2016-05-09T00:00:00.000Z,createdBy.8o9w5@example.org,2022-06-09T00:00:00.000Z,modifiedBy.8o9w5@example.org
14569494,title-14569494,descr-14569494,30716097,26216143,75,46.52,434,2001-01-22T00:00:00.000Z,createdBy.8o9w6@example.org,2019-05-13T00:00:00.000Z,modifiedBy.8o9w6@example.org
14569495,title-14569495,descr-14569495,30716097,26216143,23,3.81,434,2023-10-26T00:00:00.000Z,createdBy.8o9w7@example.com,2000-12-21T00:00:00.000Z,modifiedBy.8o9w7@example.com
14569496,title-14569496,descr-14569496,30716097,26216143,23,89.84,434,2022-01-20T00:00:00.000Z,createdBy.8o9w8@example.com,2023-02-18T00:00:00.000Z,modifiedBy.8o9w8@example.org
14569497,title-14569497,descr-14569497,30716097,26216143,41,44.96,434,2007-04-24T00:00:00.000Z,createdBy.8o9w9@example.com,2009-06-09T00:00:00.000Z,modifiedBy.8o9w9@example.net
14569498,title-14569498,descr-14569498,30716097,26216143,94,93.64,434,2009-04-08T00:00:00.000Z,createdBy.8o9wa@example.org,2006-08-15T00:00:00.000Z,modifiedBy.8o9wa@example.com
