ID,locale,title,descr
14569489,it,title-12400826,descr-12400826
14569489,th,title-12400827,descr-12400827
14569490,it,title-3887238,descr-3887238
14569490,en,title-3887239,descr-3887239
14569491,pt,title-5601860,descr-5601860
14569491,ru,title-5601861,descr-5601861
14569492,th,title-16306390,descr-16306390
14569492,cs,title-16306391,descr-16306391
14569493,hu,title-3161495,descr-3161495
14569493,es,title-3161496,descr-3161496
14569494,de,title-1138591,descr-1138591
14569494,ro,title-1138592,descr-1138592
14569495,it,title-1556221,descr-1556221
14569495,sv,title-1556222,descr-1556222
14569496,nl,title-7233925,descr-7233925
14569496,ar,title-7233926,descr-7233926
14569497,zh,title-1988726,descr-1988726
14569497,hu,title-1988727,descr-1988727
14569498,th,title-11288719,descr-11288719
14569498,hu,title-11288720,descr-11288720
