ID,locale,name,descr
26216143,ro,name-20008271,descr-20008271
26216143,zh,name-20008272,descr-20008272
27779260,es,name-19277450,descr-19277450
27779260,tr,name-19277451,descr-19277451
27779261,da,name-26533809,descr-26533809
27779261,fr,name-26533810,descr-26533810
27779262,es,name-4938023,descr-4938023
27779262,fr,name-4938024,descr-4938024
27779263,en,name-17963083,descr-17963083
27779263,it,name-17963084,descr-17963084
27779264,fr,name-10439261,descr-10439261
27779264,th,name-10439262,descr-10439262
27779265,nl,name-28020227,descr-28020227
27779265,da,name-28020228,descr-28020228
27779266,ro,name-21013597,descr-21013597
27779267,fr,name-14562472,descr-14562472
27779267,da,name-14562473,descr-14562473
27779268,fr,name-30047578,descr-30047578
27779268,tr,name-30047579,descr-30047579
