order_ID,pos,descr
15315741-b9f6-4ad9-91b7-fd8c0e1fb800,3259423,descr-3259423
15315741-b9f6-4ad9-91b7-fd8c0e1fb800,3259424,descr-3259424
15315742-86e7-4300-b349-079b78716ada,24991682,descr-24991682
15315742-86e7-4300-b349-079b78716ada,24991683,descr-24991683
15315743-c5e6-47eb-8e70-0c80324b5eb3,10988094,descr-10988094
15315743-c5e6-47eb-8e70-0c80324b5eb3,10988095,descr-10988095
15315744-c40c-4fa5-92b3-1bb9fc2465c8,24839995,descr-24839995
15315744-c40c-4fa5-92b3-1bb9fc2465c8,24839996,descr-24839996
15315745-9f91-4ec4-9fb8-ad513f7ac123,30255381,descr-30255381
15315745-9f91-4ec4-9fb8-ad513f7ac123,30255382,descr-30255382
15315746-5347-4442-bd6d-e6f50b59b151,9843720,descr-9843720
15315746-5347-4442-bd6d-e6f50b59b151,9843721,descr-9843721
15315747-d138-4d14-a3d9-3fccc2228790,7964225,descr-7964225
15315747-d138-4d14-a3d9-3fccc2228790,7964226,descr-7964226
15315748-4433-454e-9eb8-4dbe6f4244bb,6255529,descr-6255529
15315748-4433-454e-9eb8-4dbe6f4244bb,6255530,descr-6255530
15315749-16cd-46ba-ba35-1a882f12ed72,24920341,descr-24920341
15315749-16cd-46ba-ba35-1a882f12ed72,24920342,descr-24920342
15315750-c667-4b2d-93e1-f6e5a91bf162,8065631,descr-8065631
15315750-c667-4b2d-93e1-f6e5a91bf162,8065632,descr-8065632
