code,locale,name,descr
434,cs,name-4599601,descr-4599601
434,zh,name-4599602,descr-4599602
274,fr,name-12186786,descr-12186786
274,zh,name-12186787,descr-12186787
275,ja,name-29003815,descr-29003815
275,ko,name-29003816,descr-29003816
276,sv,name-5792572,descr-5792572
276,cs,name-5792573,descr-5792573
277,ko,name-1769727,descr-1769727
277,ro,name-1769728,descr-1769728
278,de,name-21396751,descr-21396751
278,zh,name-21396752,descr-21396752
279,ja,name-12134124,descr-12134124
279,fi,name-12134125,descr-12134125
280,it,name-16539152,descr-16539152
280,ar,name-16539153,descr-16539153
281,th,name-25952832,descr-25952832
281,zh,name-25952833,descr-25952833
282,pl,name-4161979,descr-4161979
282,sv,name-4161980,descr-4161980
