ID,request_ID,action,oldValue,newValue,changedBy,changedAt
1,1,STATUS_CHANGE,Pending,In Progress,2,2024-01-15 09:30:00
2,1,STATUS_CHANGE,In Progress,Resolved,2,2024-01-15 15:00:00
3,2,STATUS_CHANGE,Pending,In Progress,3,2024-02-01 11:00:00
4,3,STATUS_CHANGE,Pending,In Progress,2,2024-02-02 14:45:00
5,4,PRIORITY_CHANGE,Low,Medium,4,2024-02-03 09:45:00
6,5,ASSIGNED_AGENT_CHANGE,,3,2,2024-02-05 10:30:00
7,6,STATUS_CHANGE,Pending,In Progress,2,2024-02-06 08:30:00
8,6,STATUS_CHANGE,In Progress,Resolved,2,2024-02-06 09:00:00
9,7,ASSIGNED_AGENT_CHANGE,,2,2,2024-02-08 11:00:00
10,8,PRIORITY_CHANGE,Low,Medium,3,2024-02-11 10:45:00
